RWES2,01/05/2018 05:16 MST,28.99,72,1.01
RWES2,01/05/2018 06:16 MST,27,73,1.01
RWES2,01/05/2018 07:16 MST,27,73,3
RWES2,01/05/2018 08:16 MST,16,80,1.01
RWES2,01/05/2018 09:16 MST,27,67,1.01
RWES2,01/05/2018 10:16 MST,34,57,1.01
RWES2,01/05/2018 11:16 MST,35.01,58,3
RWES2,01/05/2018 12:16 MST,30,69,2.01
RWES2,01/05/2018 13:16 MST,28.99,69,4.99
RWES2,01/05/2018 14:16 MST,27,76,1.01
RWES2,01/05/2018 15:16 MST,26.01,78,1.01
RWES2,01/05/2018 16:16 MST,19.99,88,2.01
RWES2,01/05/2018 17:16 MST,18,91,0
RWES2,01/05/2018 18:16 MST,17.01,90,0
RWES2,01/05/2018 19:16 MST,15.01,88,0
RWES2,01/05/2018 20:16 MST,16,88,0
RWES2,01/05/2018 21:16 MST,16,88,0
RWES2,01/05/2018 22:16 MST,28,92,3
RWES2,01/05/2018 23:16 MST,30,81,1.01
RWES2,01/06/2018 00:16 MST,39,59,3
RWES2,01/06/2018 01:16 MST,39.99,57,4.99
RWES2,01/06/2018 02:16 MST,43,50,4
RWES2,01/06/2018 03:16 MST,43,49,4.99
RWES2,01/06/2018 04:16 MST,44.01,48,3
RWES2,01/06/2018 05:16 MST,41,53,4.99
RWES2,01/06/2018 06:16 MST,43,50,3
RWES2,01/06/2018 07:16 MST,39,58,5.99
RWES2,01/06/2018 08:16 MST,43,54,4
RWES2,01/06/2018 09:16 MST,46,46,4.99
RWES2,01/06/2018 10:16 MST,51.01,40,4.99
RWES2,01/06/2018 11:16 MST,57.99,31,3
RWES2,01/06/2018 12:16 MST,57,31,2.01
RWES2,01/06/2018 13:16 MST,62.01,26,3
RWES2,01/06/2018 14:16 MST,61,25,0
RWES2,01/06/2018 15:16 MST,57,32,2.01
RWES2,01/06/2018 16:16 MST,51.01,39,1.01
RWES2,01/06/2018 17:16 MST,48,41,2.01
RWES2,01/06/2018 18:16 MST,44.01,49,4
RWES2,01/06/2018 19:16 MST,43,53,4
RWES2,01/06/2018 20:16 MST,46,44,4
RWES2,01/06/2018 21:16 MST,44.01,52,1.01
RWES2,01/06/2018 22:16 MST,42.01,62,2.01
RWES2,01/06/2018 23:16 MST,44.01,57,4
RWES2,01/07/2018 00:16 MST,43,60,8.01
RWES2,01/07/2018 01:16 MST,41,62,2.01
RWES2,01/07/2018 02:16 MST,41,54,3
RWES2,01/07/2018 03:16 MST,42.01,53,5.99
RWES2,01/07/2018 04:16 MST,42.01,52,11.01
RWES2,01/07/2018 05:16 MST,42.01,52,8.99
RWES2,01/07/2018 06:16 MST,39.99,60,10
RWES2,01/07/2018 07:16 MST,39.99,61,8.99
RWES2,01/07/2018 08:16 MST,39.99,57,7
RWES2,01/07/2018 09:16 MST,43,48,5.99
RWES2,01/07/2018 10:16 MST,46,42,7
RWES2,01/07/2018 11:16 MST,48,38,10
RWES2,01/07/2018 12:16 MST,48.99,35,8.99
RWES2,01/07/2018 13:16 MST,48.99,34,8.01
RWES2,01/07/2018 14:16 MST,50,34,5.99
RWES2,01/07/2018 15:16 MST,46.99,41,4.99
RWES2,01/07/2018 16:16 MST,44.01,42,4.99
RWES2,01/07/2018 17:16 MST,39.99,49,3
RWES2,01/07/2018 18:16 MST,39.99,50,4
RWES2,01/07/2018 19:16 MST,37,53,4
RWES2,01/07/2018 20:16 MST,35.01,60,4
RWES2,01/07/2018 21:16 MST,32,65,4
RWES2,01/07/2018 22:16 MST,33.01,63,4
RWES2,01/07/2018 23:16 MST,34,59,3
RWES2,01/08/2018 00:16 MST,36,53,4
RWES2,01/08/2018 01:16 MST,37,50,4
RWES2,01/08/2018 02:16 MST,36,53,5.99
RWES2,01/08/2018 03:16 MST,34,57,5.99
RWES2,01/08/2018 04:16 MST,32,60,4
RWES2,01/08/2018 05:16 MST,36,51,4
RWES2,01/08/2018 06:16 MST,37,47,4
RWES2,01/08/2018 07:16 MST,36,50,4.99
RWES2,01/08/2018 08:16 MST,37.99,48,4
RWES2,01/08/2018 09:16 MST,45,37,4
RWES2,01/08/2018 10:16 MST,48,37,3
RWES2,01/08/2018 11:16 MST,54,32,2.01
RWES2,01/08/2018 12:16 MST,54,30,3
RWES2,01/08/2018 13:16 MST,54,33,3
RWES2,01/08/2018 14:16 MST,53.01,36,3
RWES2,01/08/2018 15:16 MST,52,33,2.01
RWES2,01/08/2018 16:16 MST,48,41,0
RWES2,01/08/2018 17:16 MST,46,41,3
RWES2,01/08/2018 18:16 MST,45,44,4
RWES2,01/08/2018 19:16 MST,43,48,2.01
RWES2,01/08/2018 20:16 MST,43,47,4
RWES2,01/08/2018 21:16 MST,41,49,5.99
